Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-01 00:00:00+00:00,1.9720492616670526e-07,2.0868436934051715e-07,1.927410977486943e-07,2.0868436934051715e-07,0,0.0,0.0
2023-01-01 01:00:00+00:00,2.0878843542959657e-07,2.6025495003523247e-07,2.087760293534302e-07,2.6025495003523247e-07,124223,0.0,0.0
2023-01-01 02:00:00+00:00,2.602321558242693e-07,2.752571219843958e-07,2.2202965510587092e-07,2.2202965510587092e-07,0,0.0,0.0
2023-01-01 03:00:00+00:00,2.2490766582450306e-07,2.6801021135725023e-07,2.248983577146646e-07,2.3444243879566784e-07,430,0.0,0.0
2023-01-01 04:00:00+00:00,2.680571924429387e-07,3.076349912589649e-07,2.3385018721455708e-07,2.464342117036722e-07,4984,0.0,0.0
2023-01-01 05:00:00+00:00,3.0611414558734396e-07,3.061230700041051e-07,2.3032258411603834e-07,2.303518868984611e-07,2878,0.0,0.0
2023-01-01 06:00:00+00:00,2.30589904504086e-07,2.7841286964758183e-07,2.3051158848375053e-07,2.3527854864369147e-07,2789,0.0,0.0
2023-01-01 07:00:00+00:00,2.7267890345683554e-07,2.792475299884245e-07,2.344656735431272e-07,2.384335573424323e-07,1355,0.0,0.0
2023-01-01 08:00:00+00:00,2.7973533178737853e-07,2.797822560296481e-07,2.3587715247685992e-07,2.3643598012768052e-07,1924,0.0,0.0
2023-01-01 09:00:00+00:00,2.758490609267028e-07,2.7584937356550654e-07,2.3227828194194444e-07,2.678085309071321e-07,134493,0.0,0.0
2023-01-01 10:00:00+00:00,2.6775202854878444e-07,2.7668704660754884e-07,2.3186416342468874e-07,2.7668704660754884e-07,0,0.0,0.0
2023-01-01 11:00:00+00:00,2.376114736080126e-07,2.886907850552234e-07,2.376073666709999e-07,2.8845087740592135e-07,0,0.0,0.0
2023-01-01 12:00:00+00:00,2.4140851451193157e-07,2.855230150089483e-07,2.3839561436034273e-07,2.3911889002192765e-07,0,0.0,0.0
2023-01-01 13:00:00+00:00,2.846021800451126e-07,3.2057982934929896e-07,2.4014801169869315e-07,2.578672990694031e-07,3695,0.0,0.0
2023-01-01 14:00:00+00:00,3.4027951301141e-07,3.9795185102775577e-07,2.476134852713585e-07,2.491726434072916e-07,16150,0.0,0.0
2023-01-01 15:00:00+00:00,2.549855082634167e-07,3.373254457983421e-07,2.458921528614155e-07,2.582903277925652e-07,8011,0.0,0.0
2023-01-01 16:00:00+00:00,2.583561240498966e-07,3.987182424225466e-07,2.5769460876290395e-07,3.713923888426507e-07,227940,0.0,0.0
2023-01-01 17:00:00+00:00,3.739183966899873e-07,3.978744018695579e-07,2.650155579431157e-07,3.6400834346750344e-07,2706877,0.0,0.0
2023-01-01 18:00:00+00:00,3.6602941122509947e-07,3.6603162811843504e-07,2.6189437107859703e-07,2.6189437107859703e-07,0,0.0,0.0
2023-01-01 19:00:00+00:00,3.184551360391197e-07,3.296972579391877e-07,2.48531733859636e-07,3.249193980536802e-07,3268661,0.0,0.0
2023-01-01 20:00:00+00:00,2.587576943824388e-07,3.2398625648966117e-07,2.394352804913069e-07,2.394352804913069e-07,0,0.0,0.0
2023-01-01 21:00:00+00:00,2.514942138986953e-07,3.3107502872553596e-07,2.514942138986953e-07,2.7892514253835543e-07,7214,0.0,0.0
2023-01-01 22:00:00+00:00,2.8486732617238886e-07,3.6780420487048104e-07,2.8486732617238886e-07,3.1057194860295567e-07,5413,0.0,0.0
2023-01-01 23:00:00+00:00,3.772501599996758e-07,3.772841523641546e-07,3.051235921702755e-07,3.665463736979291e-07,3989366,0.0,0.0
2023-01-02 00:00:00+00:00,3.658309992715658e-07,3.6833509398093156e-07,2.906372458255646e-07,2.9309543947420025e-07,8866,0.0,0.0
2023-01-02 01:00:00+00:00,2.9312599281183793e-07,3.4344009236519923e-07,2.9312599281183793e-07,3.074925416512997e-07,12,0.0,0.0
2023-01-02 02:00:00+00:00,3.079877330947056e-07,3.4756595823637326e-07,3.037190197119344e-07,3.466287807896151e-07,372019,0.0,0.0
2023-01-02 03:00:00+00:00,3.450174688168772e-07,3.889616380092775e-07,3.0913935233911616e-07,3.3829579138000554e-07,0,0.0,0.0
2023-01-02 04:00:00+00:00,3.4294529882572533e-07,3.975285949309182e-07,3.3275102850893745e-07,3.475564369637141e-07,11807,0.0,0.0
2023-01-02 05:00:00+00:00,3.9760129766364116e-07,4.2122678678424563e-07,3.469713760750892e-07,3.717093193245091e-07,5285,0.0,0.0
2023-01-02 06:00:00+00:00,4.346184425685351e-07,5.076146294413775e-07,3.9043081301315397e-07,5.076146294413775e-07,4066992,0.0,0.0
2023-01-02 07:00:00+00:00,4.176505967734556e-07,5.657818746840348e-07,4.0166665371543786e-07,4.553583039523801e-07,0,0.0,0.0
2023-01-02 08:00:00+00:00,4.4686231603918714e-07,5.533451599148975e-07,4.377078539619106e-07,5.40931807790912e-07,5028769,0.0,0.0
2023-01-02 09:00:00+00:00,4.3442216224320873e-07,5.213572080720041e-07,4.134259086185921e-07,4.961124773217307e-07,57941,0.0,0.0
2023-01-02 10:00:00+00:00,4.948981882080261e-07,5.114872010381077e-07,4.1801678207775694e-07,4.253881229487888e-07,0,0.0,0.0
2023-01-02 11:00:00+00:00,4.920092919746821e-07,5.311509312377893e-07,4.2948428813360806e-07,4.540937084129837e-07,17897,0.0,0.0
2023-01-02 12:00:00+00:00,5.369078053263365e-07,5.75668707369914e-07,4.624805569619639e-07,5.485260885507159e-07,5019400,0.0,0.0
2023-01-02 13:00:00+00:00,5.490734906743455e-07,5.530466751224594e-07,4.5834514139642124e-07,5.372276064008474e-07,118059,0.0,0.0
2023-01-02 14:00:00+00:00,4.799982207259745e-07,5.976305601507192e-07,4.794610504177399e-07,5.794280468762736e-07,223496,0.0,0.0
2023-01-02 15:00:00+00:00,5.101369424664881e-07,6.065931756893406e-07,5.101254600958782e-07,5.238353537606599e-07,0,0.0,0.0
2023-01-02 16:00:00+00:00,5.963279932075238e-07,6.011662776472804e-07,5.077420155430445e-07,5.283438326841861e-07,27714,0.0,0.0
2023-01-02 17:00:00+00:00,5.976855277367576e-07,6.368790650412848e-07,5.43422117971204e-07,6.319709200397483e-07,6014562,0.0,0.0
2023-01-02 18:00:00+00:00,5.61241847663041e-07,7.337665692830342e-07,5.612233167084923e-07,7.337665692830342e-07,0,0.0,0.0
2023-01-02 19:00:00+00:00,6.605505404877476e-07,8.889778086995648e-07,6.432416626012127e-07,7.192999760263774e-07,0,0.0,0.0
2023-01-02 20:00:00+00:00,7.222309932330973e-07,7.609494332427857e-07,6.354989068313444e-07,7.609494332427857e-07,9662402,0.0,0.0
2023-01-02 21:00:00+00:00,7.279716101038503e-07,9.564421361574205e-07,7.279649594238435e-07,9.564421361574205e-07,0,0.0,0.0
