Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-01 13:00:00+00:00,8.005778909137007e-06,8.01394708105363e-06,7.986890523170587e-06,8.004958544916008e-06,30679,0.0,0.0
2023-01-01 14:00:00+00:00,8.012491889530793e-06,8.044343303481583e-06,7.99720328359399e-06,8.022941983654164e-06,0,0.0,0.0
2023-01-01 15:00:00+00:00,8.00987436377909e-06,8.040898137551267e-06,8.00781162979547e-06,8.033309313759673e-06,0,0.0,0.0
2023-01-01 16:00:00+00:00,8.038372470764443e-06,8.038372470764443e-06,7.997276043170132e-06,7.997276043170132e-06,0,0.0,0.0
2023-01-01 17:00:00+00:00,7.999883564480115e-06,8.019635060918517e-06,7.975531843840145e-06,7.994662155397236e-06,0,0.0,0.0
2023-01-01 18:00:00+00:00,7.990056474227458e-06,7.99239114712691e-06,7.951042789500207e-06,7.95384039520286e-06,43406,0.0,0.0
2023-01-01 19:00:00+00:00,7.964191354403738e-06,8.006605639820918e-06,7.952889973239508e-06,7.969913895067293e-06,2088,0.0,0.0
2023-01-01 20:00:00+00:00,7.976553206390236e-06,8.002706636034418e-06,7.962034942465834e-06,7.99284316599369e-06,17369,0.0,0.0
2023-01-01 21:00:00+00:00,7.994562110980041e-06,8.002417416719254e-06,7.984955118445214e-06,7.987810931808781e-06,0,0.0,0.0
2023-01-01 22:00:00+00:00,7.983596333360765e-06,7.99803910922492e-06,7.964887117850594e-06,7.99803910922492e-06,14944,0.0,0.0
2023-01-01 23:00:00+00:00,7.992209248186555e-06,8.009948032849934e-06,7.979940164659638e-06,7.999747140274849e-06,11665,0.0,0.0
2023-01-02 00:00:00+00:00,8.00444649939891e-06,8.020640962058678e-06,7.996522072062362e-06,7.996522072062362e-06,0,0.0,0.0
2023-01-02 01:00:00+00:00,8.004327355592977e-06,8.007414180610795e-06,7.979040674399585e-06,7.986051969055552e-06,0,0.0,0.0
2023-01-02 02:00:00+00:00,7.983974683156703e-06,7.99721328803571e-06,7.972042112669442e-06,7.977798304636963e-06,9742,0.0,0.0
2023-01-02 03:00:00+00:00,7.984756848600227e-06,7.993538929440547e-06,7.96631138655357e-06,7.979223482834641e-06,0,0.0,0.0
2023-01-02 04:00:00+00:00,7.984497642610222e-06,7.984497642610222e-06,7.958304195199162e-06,7.96272524894448e-06,17113,0.0,0.0
2023-01-02 05:00:00+00:00,7.961250048538204e-06,7.984586773090996e-06,7.961231858644169e-06,7.980254849826451e-06,0,0.0,0.0
2023-01-02 06:00:00+00:00,7.974063919391483e-06,8.029349373828154e-06,7.96773201727774e-06,8.014914783416316e-06,52717,0.0,0.0
2023-01-02 07:00:00+00:00,8.026407158467919e-06,8.041426553972997e-06,7.983303476066794e-06,8.026800969673786e-06,31181,0.0,0.0
2023-01-02 08:00:00+00:00,8.037940460781101e-06,8.054184036154766e-06,8.01504484115867e-06,8.045277354540303e-06,0,0.0,0.0
2023-01-02 09:00:00+00:00,8.050510587054305e-06,8.05367290013237e-06,8.019522283575498e-06,8.019522283575498e-06,4492,0.0,0.0
2023-01-02 10:00:00+00:00,8.028455340536311e-06,8.045246431720443e-06,8.02327849669382e-06,8.025979695958085e-06,25807,0.0,0.0
2023-01-02 11:00:00+00:00,8.033654921746347e-06,8.060302207013592e-06,8.032136065594386e-06,8.058802450250369e-06,19746,0.0,0.0
2023-01-02 12:00:00+00:00,8.058355888351798e-06,8.0691806942923e-06,8.017669642867986e-06,8.03923285275232e-06,0,0.0,0.0
2023-01-02 13:00:00+00:00,8.027209332794882e-06,8.049564712564461e-06,8.010340025066398e-06,8.036787221499253e-06,0,0.0,0.0
2023-01-02 14:00:00+00:00,8.024635462788865e-06,8.04198225523578e-06,8.011676072783303e-06,8.040709872148e-06,0,0.0,0.0
2023-01-02 15:00:00+00:00,8.031666766328271e-06,8.035024620767217e-06,8.012330908968579e-06,8.019061169761699e-06,0,0.0,0.0
2023-01-02 16:00:00+00:00,8.023997907002922e-06,8.03676539362641e-06,8.007256838027388e-06,8.020346285775304e-06,0,0.0,0.0
2023-01-02 17:00:00+00:00,8.011817953956779e-06,8.028138836380094e-06,7.966660632519051e-06,7.967267265485134e-06,9584,0.0,0.0
2023-01-02 18:00:00+00:00,7.994927727850154e-06,8.027855074033141e-06,7.971144441398792e-06,8.02115482656518e-06,0,0.0,0.0
