Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-01 00:00:00+00:00,6.244831638468895e-07,6.249781563383294e-07,6.231061320249864e-07,6.242012204893399e-07,25039,0.0,0.0
2023-01-01 01:00:00+00:00,6.241671144380234e-07,6.241671144380234e-07,6.224681214916927e-07,6.224786943676008e-07,0,0.0,0.0
2023-01-01 02:00:00+00:00,6.227953690540744e-07,6.235470664250897e-07,6.210707397258375e-07,6.228941629160545e-07,0,0.0,0.0
2023-01-01 03:00:00+00:00,6.22337324784894e-07,6.228052029655373e-07,6.194280786075979e-07,6.195546689014009e-07,123163,0.0,0.0
2023-01-01 04:00:00+00:00,6.201756264090363e-07,6.201756264090363e-07,6.192752266542811e-07,6.199188646860421e-07,0,0.0,0.0
2023-01-01 05:00:00+00:00,6.197614652592165e-07,6.21126048372389e-07,6.186510290717706e-07,6.195844548528839e-07,0,0.0,0.0
2023-01-01 06:00:00+00:00,6.19788636413432e-07,6.200620532581524e-07,6.19510103661014e-07,6.198170581228624e-07,0,0.0,0.0
2023-01-01 07:00:00+00:00,6.199667268447229e-07,6.199871336320939e-07,6.185351821841323e-07,6.185499614730361e-07,0,0.0,0.0
2023-01-01 08:00:00+00:00,6.185632628330495e-07,6.196351023390889e-07,6.185285315041256e-07,6.195572836986685e-07,0,0.0,0.0
2023-01-01 09:00:00+00:00,6.19268348600599e-07,6.198314395078341e-07,6.191771717567462e-07,6.19391244072176e-07,35626,0.0,0.0
2023-01-01 10:00:00+00:00,6.1954074226378e-07,6.201902920111024e-07,6.192628916323883e-07,6.196189019647136e-07,0,0.0,0.0
2023-01-01 11:00:00+00:00,6.192919954628451e-07,6.201349833645509e-07,6.190699650687748e-07,6.197169568622485e-07,0,0.0,0.0
2023-01-01 12:00:00+00:00,6.190699082253559e-07,6.211484446794202e-07,6.189124519551115e-07,6.195077162374218e-07,0,0.0,0.0
2023-01-01 13:00:00+00:00,6.195539867803745e-07,6.217331929292413e-07,6.186780296957295e-07,6.209688194758201e-07,11531,0.0,0.0
2023-01-01 14:00:00+00:00,6.211590175553283e-07,6.212276844053122e-07,6.198420692271611e-07,6.200547204571194e-07,0,0.0,0.0
2023-01-01 15:00:00+00:00,6.200370989972726e-07,6.207274623193371e-07,6.190624048940663e-07,6.199063022904738e-07,0,0.0,0.0
2023-01-01 16:00:00+00:00,6.199418294272618e-07,6.219108854566002e-07,6.190394969962654e-07,6.219108854566002e-07,0,0.0,0.0
2023-01-01 17:00:00+00:00,6.226116511243163e-07,6.244308110581187e-07,6.224047410796629e-07,6.237920047169609e-07,28012,0.0,0.0
2023-01-01 18:00:00+00:00,6.236025456018979e-07,6.243987513698812e-07,6.21608762685355e-07,6.240841798899055e-07,0,0.0,0.0
2023-01-01 19:00:00+00:00,6.244860060178326e-07,6.248551471799146e-07,6.218189128048834e-07,6.236463150344207e-07,12720,0.0,0.0
2023-01-01 20:00:00+00:00,6.225005222404434e-07,6.248499744287983e-07,6.225005222404434e-07,6.241342589419219e-07,28817,0.0,0.0
2023-01-01 21:00:00+00:00,6.241520509320253e-07,6.251548825275677e-07,6.238588525775413e-07,6.251548825275677e-07,12948,0.0,0.0
2023-01-01 22:00:00+00:00,6.253849278436974e-07,6.253849278436974e-07,6.240178436200949e-07,6.240431957849069e-07,0,0.0,0.0
2023-01-01 23:00:00+00:00,6.237273737497162e-07,6.247727242225665e-07,6.222565502866928e-07,6.240851462280261e-07,0,0.0,0.0
2023-01-02 00:00:00+00:00,6.241511414373235e-07,6.246982593438588e-07,6.235984528757399e-07,6.240650805011683e-07,11419,0.0,0.0
2023-01-02 01:00:00+00:00,6.232963301044947e-07,6.241631353987032e-07,6.200194775374257e-07,6.200252187227306e-07,209739,0.0,0.0
2023-01-02 02:00:00+00:00,6.202822078194004e-07,6.217238706085482e-07,6.197941502250615e-07,6.205683007465268e-07,0,0.0,0.0
2023-01-02 03:00:00+00:00,6.206544753695198e-07,6.225645847734995e-07,6.189630994413164e-07,6.225645847734995e-07,0,0.0,0.0
2023-01-02 04:00:00+00:00,6.230431495168887e-07,6.235942464627442e-07,6.220293471415062e-07,6.235942464627442e-07,67014,0.0,0.0
2023-01-02 05:00:00+00:00,6.239686740627803e-07,6.239686740627803e-07,6.220028012648982e-07,6.224126423148846e-07,233138,0.0,0.0
2023-01-02 06:00:00+00:00,6.233955218704068e-07,6.236433023332211e-07,6.228277129594062e-07,6.231635438780359e-07,230085,0.0,0.0
2023-01-02 07:00:00+00:00,6.230608846635732e-07,6.250288606679533e-07,6.230608846635732e-07,6.250288606679533e-07,184075,0.0,0.0
2023-01-02 08:00:00+00:00,6.251277113733522e-07,6.254910545067105e-07,6.241065761969367e-07,6.251944455470948e-07,154098,0.0,0.0
2023-01-02 09:00:00+00:00,6.251583499761182e-07,6.259369911276735e-07,6.247055921448919e-07,6.253289939195383e-07,88004,0.0,0.0
2023-01-02 10:00:00+00:00,6.249063062568894e-07,6.267125627346104e-07,6.249063062568894e-07,6.252271305129398e-07,179735,0.0,0.0
2023-01-02 11:00:00+00:00,6.250804744922789e-07,6.266051286729635e-07,6.250804744922789e-07,6.253795277189056e-07,99621,0.0,0.0
2023-01-02 12:00:00+00:00,6.259777478589967e-07,6.274285055951623e-07,6.249176749406615e-07,6.264245371312427e-07,75796,0.0,0.0
2023-01-02 13:00:00+00:00,6.263607588152809e-07,6.267939056670002e-07,6.248906174732838e-07,6.256312872210401e-07,10896,0.0,0.0
2023-01-02 14:00:00+00:00,6.257964173528308e-07,6.264034482228453e-07,6.249971420402289e-07,6.258601388253737e-07,138550,0.0,0.0
2023-01-02 15:00:00+00:00,6.259340352698928e-07,6.26363544142805e-07,6.24897893430898e-07,6.256215669964149e-07,56843,0.0,0.0
2023-01-02 16:00:00+00:00,6.260801796997839e-07,6.273403414525092e-07,6.260222562559647e-07,6.273403414525092e-07,5484,0.0,0.0
2023-01-02 17:00:00+00:00,6.268308538892597e-07,6.272604196055909e-07,6.256303777263383e-07,6.263075533752271e-07,11439,0.0,0.0
2023-01-02 18:00:00+00:00,6.267733851927915e-07,6.272005066421116e-07,6.25924144515011e-07,6.264255603127822e-07,42245,0.0,0.0
2023-01-02 19:00:00+00:00,6.263156251407054e-07,6.274054840105237e-07,6.260182772166445e-07,6.267601975196158e-07,22126,0.0,0.0
2023-01-02 20:00:00+00:00,6.259771794248081e-07,6.27034125955106e-07,6.25905784090719e-07,6.27034125955106e-07,0,0.0,0.0
2023-01-02 21:00:00+00:00,6.269171421990904e-07,6.275590180848667e-07,6.252767548176053e-07,6.261162184273417e-07,45009,0.0,0.0
2023-01-02 22:00:00+00:00,6.259553515519656e-07,6.277434181356512e-07,6.25813072474557e-07,6.266309924285451e-07,158662,0.0,0.0
2023-01-02 23:00:00+00:00,6.265037200137158e-07,6.280998832153273e-07,6.259190286073135e-07,6.271332040341804e-07,69915,0.0,0.0
2023-01-03 00:00:00+00:00,6.272537689255842e-07,6.281087507886696e-07,6.258127882574627e-07,6.274319162002939e-07,63011,0.0,0.0
2023-01-03 01:00:00+00:00,6.27267695563205e-07,6.27267695563205e-07,6.239817480491183e-07,6.245913937164005e-07,0,0.0,0.0
