Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2023-01-03 01:00:00+00:00,6.27267695563205e-07,6.27267695563205e-07,6.239817480491183e-07,6.245913937164005e-07,0,0.0,0.0,6.265771503422002e-07,6.233686701762053e-07,46.370703871423714,8.245444985142137e-10
2023-01-03 02:00:00+00:00,6.240302354854066e-07,6.248257591323636e-07,6.237661409613793e-07,6.243666916816437e-07,38347,0.0,0.0,6.262797853651136e-07,6.233719796000514e-07,39.74935441489603,1.0294696689432097e-09
2023-01-03 03:00:00+00:00,6.241782557481201e-07,6.248674253583886e-07,6.232842792996962e-07,6.241177175070334e-07,0,0.0,0.0,6.260608017782942e-07,6.2340476006284e-07,42.02827392535731,1.2352461941320894e-09
2023-01-03 04:00:00+00:00,6.24409437932627e-07,6.244230803531536e-07,6.222419415280456e-07,6.235954401745403e-07,0,0.0,0.0,6.257777897644701e-07,6.234187856080098e-07,38.42981686811368,1.4482364559142926e-09
2023-01-03 05:00:00+00:00,6.233731255633757e-07,6.24506242274947e-07,6.22694642515853e-07,6.230056328604405e-07,0,0.0,0.0,6.254023332985525e-07,6.234878048871906e-07,37.098402018502945,1.6393275320266549e-09
2023-01-03 06:00:00+00:00,6.23596349669242e-07,6.248871500247333e-07,6.231275051504781e-07,6.247148007787473e-07,0,0.0,0.0,6.251704007809167e-07,6.235837236090447e-07,37.03874150442528,1.5441135385637454e-09
2023-01-03 07:00:00+00:00,6.248463932934101e-07,6.252763569136732e-07,6.230689564290515e-07,6.24785968739161e-07,0,0.0,0.0,6.250373758120987e-07,6.236877538867702e-07,41.700565532294874,1.5105127948603307e-09
2023-01-03 08:00:00+00:00,6.244601991056697e-07,6.251505055843154e-07,6.239316121536831e-07,6.24828032869118e-07,0,0.0,0.0,6.248570798561559e-07,6.237879733816953e-07,41.213546095743084,1.4029328154183237e-09
2023-01-03 09:00:00+00:00,6.248879458325973e-07,6.256541382754222e-07,6.23878577243886e-07,6.24398012405436e-07,0,0.0,0.0,6.245835606932814e-07,6.239049344003433e-07,37.142804103808025,1.1545012721769625e-09
2023-01-03 10:00:00+00:00,6.241623395908391e-07,6.249400144042738e-07,6.236031708795053e-07,6.248391741792148e-07,0,0.0,0.0,6.243242864911736e-07,6.240105722099543e-07,38.26664559885262,6.033090905072286e-10
2023-01-03 11:00:00+00:00,6.244675319067028e-07,6.246653470043384e-07,6.232556302165904e-07,6.244400196919742e-07,0,0.0,0.0,6.243091490887309e-07,6.241115477223503e-07,40.51356950753433,5.977358411976035e-10
2023-01-03 12:00:00+00:00,6.244953283385257e-07,6.248152999432932e-07,6.232754117263539e-07,6.241186270017351e-07,5762,0.0,0.0,6.242843426207401e-07,6.242015422230907e-07,35.463096960926194,6.002246921650768e-10
