Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2023-01-03 01:00:00+00:00,2.229956589872017e-05,2.230600694019813e-05,2.218182635260746e-05,2.2197300495463423e-05,0,0.0,0.0,2.230847403552616e-05,2.2071256244089453e-05,51.899056629592906,8.58104848024097e-08
2023-01-03 02:00:00+00:00,2.218719055235852e-05,2.228191442554817e-05,2.2186461137607694e-05,2.226965625595767e-05,0,0.0,0.0,2.2307143808575347e-05,2.2080881608417256e-05,50.424199553885074,8.635137355775732e-08
2023-01-03 03:00:00+00:00,2.226476681244094e-05,2.2313410227070563e-05,2.2192592950887047e-05,2.2313410227070563e-05,0,0.0,0.0,2.230660302302567e-05,2.2090904276410584e-05,57.243018817384375,8.62870482589702e-08
2023-01-03 04:00:00+00:00,2.2317915863823146e-05,2.2365551558323205e-05,2.2266469386522655e-05,2.227188451797701e-05,15713,0.0,0.0,2.2295806229521985e-05,2.2099522429925854e-05,53.46490809158695,8.2787063116311e-08
2023-01-03 05:00:00+00:00,2.228172161267139e-05,2.2292368157650344e-05,2.221593967988156e-05,2.2277283278526735e-05,0,0.0,0.0,2.228626726719085e-05,2.2106634278316052e-05,42.74894578433884,7.832125917717891e-08
2023-01-03 06:00:00+00:00,2.2253987481235527e-05,2.2326799808070064e-05,2.224767013103701e-05,2.2276497475104406e-05,8911,0.0,0.0,2.2272057867667173e-05,2.2115621250122784e-05,49.45134044695981,6.304730190869053e-08
2023-01-03 07:00:00+00:00,2.2271047782851383e-05,2.2271047782851383e-05,2.2181173335411582e-05,2.222240982518997e-05,0,0.0,0.0,2.2252100643527227e-05,2.21217696525855e-05,42.05903769338866,3.617767151666976e-08
2023-01-03 08:00:00+00:00,2.2217127479962077e-05,2.2217127479962077e-05,2.204842894570902e-05,2.2090967831900343e-05,80139,0.0,0.0,2.2236149561649654e-05,2.2125777213659603e-05,28.678180363347494,6.253549857537433e-08
2023-01-03 09:00:00+00:00,2.2096835891716186e-05,2.218977897427976e-05,2.2057223759475164e-05,2.218977897427976e-05,111949,0.0,0.0,2.2234196148929185e-05,2.2133426136861088e-05,38.1094179058233,6.376003172041991e-08
2023-01-03 10:00:00+00:00,2.2173335310071707e-05,2.2220478058443405e-05,2.21589689317625e-05,2.218469671788625e-05,77267,0.0,0.0,2.2229388559935614e-05,2.213968153228052e-05,33.94096680163109,6.566337799707381e-08
2023-01-03 11:00:00+00:00,2.2172715034685098e-05,2.2233816707739606e-05,2.209401282016188e-05,2.219950511062052e-05,51850,0.0,0.0,2.2229609021451326e-05,2.2146829578559846e-05,34.96070118142394,6.554727176157892e-08
2023-01-03 12:00:00+00:00,2.2195028577698395e-05,2.219583257101476e-05,2.2071752027841285e-05,2.2111094949650575e-05,182532,0.0,0.0,2.2213752890820616e-05,2.215107622760115e-05,39.385283712013035,7.348139519322068e-08
2023-01-03 13:00:00+00:00,2.209266858699266e-05,2.213758125435561e-05,2.2037223970983177e-05,2.212952676927671e-05,189620,0.0,0.0,2.2195364545041228e-05,2.215657881606603e-05,43.70596557889404,6.861873831602658e-08
