Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2023-07-28 03:00:00+00:00,2.6750498705041537e-08,3.028383233072418e-08,2.5393806168949595e-08,2.790111786055149e-08,0,0.0,0.0,2.516002268748707e-08,2.08597760931184e-08,51.140638066612276,1.5056679925681009e-09
2023-07-28 04:00:00+00:00,2.8004327745634328e-08,3.0366802405978894e-08,2.652896746724309e-08,3.0366802405978894e-08,0,0.0,0.0,2.5559533689545334e-08,2.1196662736144846e-08,49.682366630516974,2.2223522599815737e-09
2023-07-28 05:00:00+00:00,3.0765082925654497e-08,3.277208904250983e-08,3.003803072942901e-08,3.1340004369440067e-08,12163,0.0,0.0,2.6132589781013847e-08,2.155004233728164e-08,54.670268266761006,2.8786004231179673e-09
2023-07-28 06:00:00+00:00,3.1239455466902655e-08,3.1522162657893205e-08,2.8640018356895783e-08,2.8640018356895783e-08,0,0.0,0.0,2.6740116965129352e-08,2.1887891925587156e-08,43.3459732569678,2.675897840330656e-09
2023-07-28 07:00:00+00:00,2.8036534871489494e-08,2.8526214279622764e-08,2.6829850341414385e-08,2.7349814857302593e-08,0,0.0,0.0,2.712826017159387e-08,2.2203730871694915e-08,51.57348316632734,2.4176388574192373e-09
2023-07-28 08:00:00+00:00,2.733012394173784e-08,2.7682995451527862e-08,2.7233305388563167e-08,2.7631429588836912e-08,0,0.0,0.0,2.7369228483564715e-08,2.2502779799538075e-08,53.22933320825875,2.3248064792854868e-09
2023-07-28 09:00:00+00:00,2.7377083711144223e-08,2.7460927753963915e-08,2.5529963920689625e-08,2.5529963920689625e-08,0,0.0,0.0,2.7514873046641248e-08,2.2766368985571716e-08,49.80934507820716,2.133114352287008e-09
2023-07-28 10:00:00+00:00,2.5604617093222263e-08,2.6370578609657972e-08,2.4505956375264762e-08,2.500078011280493e-08,0,0.0,0.0,2.7475419095424062e-08,2.3031775082671403e-08,56.64555032851101,2.1798109497386598e-09
2023-07-28 11:00:00+00:00,2.4707704326942803e-08,2.4707704326942803e-08,2.258687992195973e-08,2.258687992195973e-08,0,0.0,0.0,2.7212282027733185e-08,2.3226981884505447e-08,47.778310444674574,2.6007429804689782e-09
2023-07-28 12:00:00+00:00,2.288437705999513e-08,2.3682078520437244e-08,2.2821140532869322e-08,2.2871088134479578e-08,17324,0.0,0.0,2.6921789952893964e-08,2.3453402118178703e-08,43.601705859775905,2.921453288858826e-09
2023-07-28 13:00:00+00:00,2.2505330932176548e-08,2.2505330932176548e-08,2.0120801025313998e-08,2.0890583485311254e-08,0,0.0,0.0,2.622073651536994e-08,2.3642536142176594e-08,41.71183720087097,3.453108309143914e-09
