Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ma_10,ma_50,rsi,volatility
2023-01-03 01:00:00+00:00,8.21383946458809e-06,8.21383946458809e-06,8.184353646356612e-06,8.18615262687672e-06,0,0.0,0.0,8.199234707717551e-06,8.125245731207542e-06,48.39535341602678,1.2154605614095127e-08
2023-01-03 02:00:00+00:00,8.186398190446198e-06,8.190666449081618e-06,8.185851584130432e-06,8.18615808384493e-06,133688,0.0,0.0,8.19790066088899e-06,8.127455566864228e-06,45.3312112596865,1.2835461327169277e-08
2023-01-03 03:00:00+00:00,8.186374543583952e-06,8.186374543583952e-06,8.154720489983447e-06,8.182692909031175e-06,1503456,0.0,0.0,8.19686474642367e-06,8.129703783197328e-06,49.293434313551465,1.3661694804089322e-08
2023-01-03 04:00:00+00:00,8.183438694686629e-06,8.185976184904575e-06,8.16580813989276e-06,8.16580813989276e-06,654568,0.0,0.0,8.19456527096918e-06,8.13124721389613e-06,42.76878691739461,1.6754503946348967e-08
2023-01-03 05:00:00+00:00,8.164647624653298e-06,8.18112039269181e-06,8.163681741280016e-06,8.18112039269181e-06,2704968,0.0,0.0,8.19364295239211e-06,8.133424980769632e-06,40.23658444134861,1.7258994341405564e-08
2023-01-03 06:00:00+00:00,8.181496014003642e-06,8.205546691897325e-06,8.181496014003642e-06,8.19316028355388e-06,1658744,0.0,0.0,8.19261149445083e-06,8.136540691339178e-06,48.23049070937797,1.691082302979193e-08
2023-01-03 07:00:00+00:00,8.193593203031924e-06,8.195405825972557e-06,8.188018000510056e-06,8.195224836526904e-06,0,0.0,0.0,8.189947766368278e-06,8.139464916894213e-06,50.62180831958188,1.355671036629788e-08
2023-01-03 08:00:00+00:00,8.195704140234739e-06,8.200653610401787e-06,8.162722224369645e-06,8.173662536137272e-06,0,0.0,0.0,8.1866296568478e-06,8.141860216710484e-06,46.05777291521619,1.301153132232486e-08
2023-01-03 09:00:00+00:00,8.173484275175724e-06,8.194165275199339e-06,8.171708941517863e-06,8.194165275199339e-06,0,0.0,0.0,8.187228468159447e-06,8.144879793690051e-06,50.90565810005776,1.3226675687936265e-08
2023-01-03 10:00:00+00:00,8.19424258224899e-06,8.19424258224899e-06,8.180522854672745e-06,8.180522854672745e-06,0,0.0,0.0,8.183866793842753e-06,8.147775970428483e-06,44.57402342742144,9.322924894139172e-09
2023-01-03 11:00:00+00:00,8.180214535968844e-06,8.186472769011743e-06,8.168651220330503e-06,8.171167792170309e-06,0,0.0,0.0,8.182368310372112e-06,8.15020492154872e-06,37.48096506556104,1.0087602076781257e-08
2023-01-03 12:00:00+00:00,8.171433364623226e-06,8.174097274604719e-06,8.147892003762536e-06,8.15151088318089e-06,0,0.0,0.0,8.178903590305708e-06,8.152037935360568e-06,36.641533131035445,1.3878892925092372e-08
2023-01-03 13:00:00+00:00,8.150703251885716e-06,8.169287866621744e-06,8.150703251885716e-06,8.163023267115932e-06,0,0.0,0.0,8.176936626114184e-06,8.153964154189453e-06,43.710058175764495,1.4654348108388541e-08
2023-01-03 14:00:00+00:00,8.162662197719328e-06,8.188229003280867e-06,8.156977855833247e-06,8.156977855833247e-06,317448,0.0,0.0,8.176053597708233e-06,8.155723498930456e-06,34.12493937924346,1.5632804469469363e-08
2023-01-03 15:00:00+00:00,8.15097700979095e-06,8.15097700979095e-06,8.115671334962826e-06,8.117106517602224e-06,2024096,0.0,0.0,8.169652210199274e-06,8.156829717336222e-06,32.011809363137914,2.4126447916123807e-08
2023-01-03 16:00:00+00:00,8.117503966786899e-06,8.126565262500662e-06,8.089649782050401e-06,8.095000339380931e-06,2548608,0.0,0.0,8.15983621578198e-06,8.15750578112784e-06,28.703589595400288,3.2137731789687027e-08
2023-01-03 17:00:00+00:00,8.095854354905896e-06,8.099439583020285e-06,8.08845379651757e-06,8.09377343102824e-06,1331880,0.0,0.0,8.149691075232112e-06,8.158103864843725e-06,29.006948440680574,3.5556219216422216e-08
2023-01-03 18:00:00+00:00,8.09368611953687e-06,8.09368611953687e-06,8.072588570939843e-06,8.089196853688918e-06,2118480,0.0,0.0,8.141244506987277e-06,8.158569398801774e-06,30.796762794939013,3.908633929554464e-08
2023-01-03 19:00:00+00:00,8.09022367320722e-06,8.090805749816354e-06,8.07956894277595e-06,8.087510650511831e-06,0,0.0,0.0,8.130579044518526e-06,8.15861725641298e-06,24.81562862442071,3.756309655112444e-08
2023-01-03 20:00:00+00:00,8.087470632744953e-06,8.104051630652975e-06,8.086863090284169e-06,8.100407285382971e-06,0,0.0,0.0,8.12256748758955e-06,8.158562413882464e-06,25.160630343181424,3.411252040418148e-08
2023-01-03 21:00:00+00:00,8.100520972220693e-06,8.117157449305523e-06,8.098315447568893e-06,8.116542630887125e-06,0,0.0,0.0,8.117104971461232e-06,8.15856892586453e-06,30.4055155918752,2.9531329697554618e-08
2023-01-03 22:00:00+00:00,8.116625394904986e-06,8.118666301015764e-06,8.10478741186671e-06,8.11435529612936e-06,0,0.0,0.0,8.113389412756078e-06,8.158385953720427e-06,33.65304106731912,2.694569660880868e-08
2023-01-03 23:00:00+00:00,8.115111995721236e-06,8.14229224488372e-06,8.114871889119968e-06,8.14229224488372e-06,0,0.0,0.0,8.111316310532856e-06,8.158934124367078e-06,36.265032967773934,2.3246294255953838e-08
2023-01-04 00:00:00+00:00,8.142511433106847e-06,8.143025297613349e-06,8.127655746648088e-06,8.132168659358285e-06,531088,0.0,0.0,8.108835390885361e-06,8.159320368577027e-06,36.953641084031055,1.8713648848585554e-08
2023-01-04 01:00:00+00:00,8.132770744850859e-06,8.185289516404737e-06,8.132770744850859e-06,8.173765309038572e-06,1447000,0.0,0.0,8.114501270028995e-06,8.160319139278726e-06,50.596970001003314,2.7845340221716404e-08
2023-01-04 02:00:00+00:00,8.174441973096691e-06,8.19791603134945e-06,8.174441973096691e-06,8.19791603134945e-06,770560,0.0,0.0,8.124792839225847e-06,8.162375943356892e-06,60.44915195229142,3.7263087027307395e-08
2023-01-04 03:00:00+00:00,8.198706382245291e-06,8.294381586892996e-06,8.198706382245291e-06,8.283033821498975e-06,7433144,0.0,0.0,8.14371887827292e-06,8.166357001755387e-06,70.29552816392322,6.054648731802564e-08
2023-01-04 04:00:00+00:00,8.283357601612806e-06,8.304214134113863e-06,8.256694854935631e-06,8.257329682237469e-06,4498800,0.0,0.0,8.160532161127776e-06,8.169686025212285e-06,65.91287994600427,6.675060794407165e-08
2023-01-04 05:00:00+00:00,8.25700226414483e-06,8.263644303951878e-06,8.240476745413616e-06,8.263644303951878e-06,0,0.0,0.0,8.17814552647178e-06,8.173021251423052e-06,76.0040413430687,6.855529766859066e-08
2023-01-04 06:00:00+00:00,8.263741619884968e-06,8.280037945951335e-06,8.263741619884968e-06,8.280037945951335e-06,0,0.0,0.0,8.196108592528616e-06,8.176931605703431e-06,83.51558561793902,6.945068045747643e-08
2023-01-04 07:00:00+00:00,8.279608664452098e-06,8.285122021334246e-06,8.255333341367077e-06,8.27183794172015e-06,2434408,0.0,0.0,8.21163812361192e-06,8.180363747669617e-06,81.45791557406551,6.700174281682465e-08
2023-01-04 08:00:00+00:00,8.27248368295841e-06,8.280513611680362e-06,8.223997610912193e-06,8.244763193943072e-06,3933080,0.0,0.0,8.22467891339329e-06,8.182656838471303e-06,75.45940861095316,5.805725301100421e-08
